"","kingdom","phylum","class","order","family","genus","species","decimalLatitude","decimalLongitude","year","month","day","source"
"40","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2003","6","23","GBIF"
"41","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2003","6","12","GBIF"
"42","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2003","6","12","GBIF"
"43","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2002","6","17","GBIF"
"44","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2002","6","17","GBIF"
"45","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2002","6","3","GBIF"
"46","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2003","6","23","GBIF"
"47","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2003","6","23","GBIF"
"48","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2003","6","23","GBIF"
"49","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2003","6","12","GBIF"
"50","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2003","6","12","GBIF"
"51","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2002","6","17","GBIF"
"52","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2002","6","3","GBIF"
"53","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2002","6","3","GBIF"
"54","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2000","6","30","GBIF"
"55","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2000","6","30","GBIF"
"56","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2000","6","15","GBIF"
"57","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2000","6","15","GBIF"
"58","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2000","6","1","GBIF"
"59","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1999","6","29","GBIF"
"60","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1999","6","29","GBIF"
"61","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1999","6","19","GBIF"
"62","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1999","6","19","GBIF"
"63","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1999","6","7","GBIF"
"64","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1998","6","27","GBIF"
"65","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1998","6","16","GBIF"
"66","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1998","6","16","GBIF"
"67","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"1998","6","5","GBIF"
"68","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2001","6","20","GBIF"
"69","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61439,-118.8395,"2001","6","6","GBIF"
"70","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina",37.61439,-118.8395,"1998","6","16","GBIF"
"71","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina",37.61439,-118.8395,"1998","6","5","GBIF"
"72","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina",37.61439,-118.8395,"1998","6","5","GBIF"
"73","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61448,-118.83383,"2003","6","23","GBIF"
"74","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61448,-118.83383,"2003","6","23","GBIF"
"75","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61448,-118.83383,"2003","6","12","GBIF"
"76","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61448,-118.83383,"2002","6","3","GBIF"
"77","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"2003","6","23","GBIF"
"78","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"2002","6","3","GBIF"
"79","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"2000","6","15","GBIF"
"80","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"1999","6","7","GBIF"
"81","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"1999","6","7","GBIF"
"82","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",37.61439,-118.8395,"2001","6","6","GBIF"
"83","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta",37.61457,-118.83101,"2003","6","12","GBIF"
"84","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta",37.61457,-118.83101,"2002","6","3","GBIF"
"85","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta",37.61457,-118.83101,"2002","6","3","GBIF"
"86","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta",37.61457,-118.83101,"2002","6","3","GBIF"
"87","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta",37.61448,-118.83383,"2002","6","3","GBIF"
"88","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella breweri",37.61439,-118.8395,"2000","6","15","GBIF"
"89","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",37.61435,-118.83666,"2003","6","12","GBIF"
"90","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",37.61439,-118.8395,"2003","6","23","GBIF"
"91","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",37.61439,-118.8395,"1999","6","19","GBIF"
"92","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",37.61439,-118.8395,"1999","6","7","GBIF"
"93","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",37.61439,-118.8395,"1998","6","27","GBIF"
"94","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia currucoides",37.61439,-118.8395,"2000","6","15","GBIF"
"95","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga ludoviciana",37.61439,-118.8395,"1999","6","7","GBIF"
"96","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61457,-118.83101,"2002","6","17","GBIF"
"97","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61448,-118.83383,"2003","6","23","GBIF"
"98","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61448,-118.83383,"2002","6","3","GBIF"
"99","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61435,-118.83666,"2003","6","23","GBIF"
"100","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61435,-118.83666,"2003","6","23","GBIF"
"101","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61435,-118.83666,"2002","6","17","GBIF"
"102","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61435,-118.83666,"2002","6","17","GBIF"
"103","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61439,-118.8395,"2003","6","12","GBIF"
"104","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61439,-118.8395,"2002","6","17","GBIF"
"105","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus",37.61439,-118.8395,"1999","6","29","GBIF"
"106","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61448,-118.83383,"2003","6","12","GBIF"
"107","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61448,-118.83383,"2002","6","3","GBIF"
"108","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61439,-118.8395,"2003","6","12","GBIF"
"109","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61439,-118.8395,"1999","6","29","GBIF"
"110","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61439,-118.8395,"1998","6","5","GBIF"
"111","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus",37.61439,-118.8395,"2001","6","20","GBIF"
"112","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61457,-118.83101,"2003","6","12","GBIF"
"113","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61457,-118.83101,"2003","6","12","GBIF"
"114","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61457,-118.83101,"2002","6","3","GBIF"
"115","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61448,-118.83383,"2003","6","12","GBIF"
"116","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61448,-118.83383,"2003","6","12","GBIF"
"117","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61448,-118.83383,"2002","6","3","GBIF"
"118","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61439,-118.8395,"2002","6","3","GBIF"
"119","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61439,-118.8395,"1999","6","7","GBIF"
"120","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia",37.61439,-118.8395,"1999","6","7","GBIF"
"121","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61457,-118.83101,"2003","6","12","GBIF"
"122","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61457,-118.83101,"2002","6","17","GBIF"
"123","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61448,-118.83383,"2002","6","17","GBIF"
"124","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61448,-118.83383,"2002","6","17","GBIF"
"125","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61448,-118.83383,"2002","6","17","GBIF"
"126","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"2002","6","17","GBIF"
"127","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"2002","6","17","GBIF"
"128","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"2002","6","17","GBIF"
"129","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"2002","6","17","GBIF"
"130","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"1998","6","27","GBIF"
"131","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"1998","6","27","GBIF"
"132","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota",37.61439,-118.8395,"1998","6","27","GBIF"
"133","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina amoena",37.61448,-118.83383,"2003","6","12","GBIF"
"134","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina amoena",37.61439,-118.8395,"2000","6","30","GBIF"
"135","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina amoena",37.61439,-118.8395,"2000","6","15","GBIF"
"136","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina amoena",37.61439,-118.8395,"1999","6","7","GBIF"
"137","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina amoena",37.61439,-118.8395,"1999","6","7","GBIF"
"138","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca",37.61439,-118.8395,"2003","6","12","GBIF"
"139","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis tolmiei",37.61435,-118.83666,"2002","6","3","GBIF"
"140","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis tolmiei",37.61435,-118.83666,"2002","6","3","GBIF"
"141","Animalia","Chordata","Aves","Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",37.61439,-118.8395,"1998","6","16","GBIF"
"142","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",37.61448,-118.83383,"2003","6","23","GBIF"
"143","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",37.61435,-118.83666,"2003","6","12","GBIF"
"144","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",37.61439,-118.8395,"2000","6","30","GBIF"
"145","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",37.61439,-118.8395,"1998","6","5","GBIF"
"146","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61457,-118.83101,"2003","6","23","GBIF"
"147","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61448,-118.83383,"2002","6","17","GBIF"
"148","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61448,-118.83383,"2002","6","3","GBIF"
"149","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61435,-118.83666,"2003","6","12","GBIF"
"150","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61439,-118.8395,"1999","6","7","GBIF"
"151","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61439,-118.8395,"1998","6","16","GBIF"
"152","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia",37.61439,-118.8395,"1998","6","5","GBIF"
"153","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes lewis",37.61439,-118.8395,"2002","6","17","GBIF"
"154","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61457,-118.83101,"2002","6","17","GBIF"
"155","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61448,-118.83383,"2002","6","17","GBIF"
"156","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61435,-118.83666,"2003","6","12","GBIF"
"157","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61435,-118.83666,"2002","6","17","GBIF"
"158","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61435,-118.83666,"2002","6","3","GBIF"
"159","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61435,-118.83666,"2002","6","3","GBIF"
"160","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2003","6","23","GBIF"
"161","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2003","6","12","GBIF"
"162","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2003","6","12","GBIF"
"163","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2002","6","3","GBIF"
"164","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2000","6","30","GBIF"
"165","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2000","6","30","GBIF"
"166","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2000","6","30","GBIF"
"167","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2000","6","15","GBIF"
"168","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"1999","6","29","GBIF"
"169","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"1999","6","7","GBIF"
"170","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"1998","6","16","GBIF"
"171","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2001","6","20","GBIF"
"172","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2001","6","20","GBIF"
"173","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii",37.61439,-118.8395,"2001","6","6","GBIF"
"174","Animalia","Chordata","Aves","Passeriformes","Hirundinidae",NA,NA,37.61448,-118.83383,"2003","6","23","GBIF"
"175","Animalia","Chordata","Aves","Passeriformes","Hirundinidae",NA,NA,37.61439,-118.8395,"2003","6","23","GBIF"
"176","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius",37.61439,-118.8395,"1999","6","29","GBIF"
"177","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61457,-118.83101,"2003","6","12","GBIF"
"178","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2003","6","23","GBIF"
"179","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2003","6","12","GBIF"
"180","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2002","6","17","GBIF"
"181","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2002","6","3","GBIF"
"182","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2002","6","3","GBIF"
"183","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2002","6","3","GBIF"
"184","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61448,-118.83383,"2002","6","3","GBIF"
"185","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61435,-118.83666,"2003","6","23","GBIF"
"186","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61435,-118.83666,"2003","6","12","GBIF"
"187","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61435,-118.83666,"2002","6","17","GBIF"
"188","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61435,-118.83666,"2002","6","17","GBIF"
"189","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61435,-118.83666,"2002","6","3","GBIF"
"190","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61439,-118.8395,"2003","6","23","GBIF"
"191","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61439,-118.8395,"2003","6","12","GBIF"
"192","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61439,-118.8395,"2002","6","17","GBIF"
"193","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia",37.61439,-118.8395,"2002","6","3","GBIF"
