"","species","year","month","day","class_common","location","decimalLatitude","decimalLongitude","count_print"
"141","Turdus migratorius",2001,6,20,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"142","Turdus migratorius",2001,6,6,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"143","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"144","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"145","Turdus migratorius",1999,6,19,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"146","Turdus migratorius",1999,6,19,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"147","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"148","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"149","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"150","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"151","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"152","Turdus migratorius",2003,6,23,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"153","Turdus migratorius",2000,6,30,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"154","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"155","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"156","Turdus migratorius",2003,6,12,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"157","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"158","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"159","Turdus migratorius",2000,6,30,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"160","Turdus migratorius",2000,6,30,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"161","Turdus migratorius",2000,6,15,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"162","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"163","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"164","Turdus migratorius",1999,6,7,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"165","Turdus migratorius",1999,6,7,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"166","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"167","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"168","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"169","Turdus migratorius",2001,6,20,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"170","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"171","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"172","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"173","Turdus migratorius",1998,6,16,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"174","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"175","Turdus migratorius",2001,6,20,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"176","Turdus migratorius",2001,6,6,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"177","Troglodytes aedon",2003,6,23,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"178","Troglodytes aedon",2003,6,12,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"179","Troglodytes aedon",2002,6,17,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"180","Troglodytes aedon",2002,6,17,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"181","Troglodytes aedon",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"182","Troglodytes aedon",2003,6,23,"Birds","In SNARL",37.61448,-118.83383,"111 species"
"183","Troglodytes aedon",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"184","Troglodytes aedon",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"185","Troglodytes aedon",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"186","Troglodytes aedon",2003,6,12,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"187","Troglodytes aedon",2003,6,12,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"188","Troglodytes aedon",2002,6,17,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"189","Troglodytes aedon",2002,6,17,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"190","Troglodytes aedon",2002,6,3,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"191","Troglodytes aedon",2001,6,6,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"192","Troglodytes aedon",2001,6,6,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"193","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"194","Troglodytes aedon",1998,6,16,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"195","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"196","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"197","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"198","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"199","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"200","Troglodytes aedon",2002,6,17,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"201","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"202","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"203","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"204","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"205","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"206","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"207","Troglodytes aedon",2000,6,1,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"208","Troglodytes aedon",1999,6,29,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"209","Troglodytes aedon",1999,6,29,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"210","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"211","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"212","Troglodytes aedon",1999,6,7,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"213","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"214","Troglodytes aedon",1998,6,16,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"215","Troglodytes aedon",1998,6,16,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"216","Troglodytes aedon",1998,6,5,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"217","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"218","Troglodytes aedon",2001,6,6,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"219","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"220","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"221","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"222","Troglodytes aedon",1998,6,16,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"223","Troglodytes aedon",1998,6,5,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"224","Troglodytes aedon",1999,6,7,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"225","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"226","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"227","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"228","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"229","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"230","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"231","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"232","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"233","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"234","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"235","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"236","Troglodytes aedon",1998,6,16,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"237","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"238","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"239","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"240","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"241","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"242","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"243","Troglodytes aedon",2002,6,3,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"244","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"245","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"246","Troglodytes aedon",2000,6,1,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"247","Troglodytes aedon",1999,6,29,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"248","Troglodytes aedon",1999,6,29,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"249","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"250","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"251","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"252","Troglodytes aedon",2001,6,20,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"253","Troglodytes aedon",2001,6,6,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"254","Troglodytes aedon",2003,6,23,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"255","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"256","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"257","Troglodytes aedon",2000,6,1,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"258","Troglodytes aedon",1999,6,7,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"259","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"260","Troglodytes aedon",1998,6,27,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"261","Troglodytes aedon",2003,6,12,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"262","Troglodytes aedon",2002,6,17,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"263","Troglodytes aedon",2000,6,30,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"264","Troglodytes aedon",2000,6,15,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"265","Troglodytes aedon",2000,6,1,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"266","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"267","Troglodytes aedon",1999,6,19,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"268","Troglodytes aedon",1998,6,5,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"269","Thryomanes bewickii",1999,6,7,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"270","Tachycineta thalassina",1998,6,16,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"271","Tachycineta thalassina",1998,6,5,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"272","Tachycineta thalassina",1998,6,5,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"273","Tachycineta thalassina",1999,6,19,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"274","Tachycineta thalassina",1999,6,7,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"275","Tachycineta thalassina",2003,6,23,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"276","Tachycineta thalassina",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"277","Tachycineta thalassina",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"278","Tachycineta thalassina",2000,6,30,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"279","Tachycineta thalassina",2001,6,20,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"280","Tachycineta thalassina",2001,6,20,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"281","Tachycineta thalassina",2003,6,23,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"282","Tachycineta thalassina",2003,6,23,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"283","Tachycineta thalassina",2003,6,23,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
